country,last_updated_date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,people_vaccinated,people_fully_vaccinated
afghanistan,2/3/2023,208669,117,7891,0,5073.553,2.845,191.861,0,,,,,11684678,10967235
africa,2/3/2023,12502510,434,257611,1,8763.012,0.304,180.56,0.001,,,,,488293683,402884703
albania,2/3/2023,334203,16,3596,0,117581.143,5.629,1265.165,0,,,,,,
algeria,2/3/2023,271394,8,6881,0,6043.975,0.178,153.241,0,,,,,,
andorra,2/3/2023,47850,11,165,0,599301.128,137.77,2066.556,0,,,,,,
angola,2/3/2023,105184,0,1931,0,2955.52,0,54.258,0,,,,,,
anguilla,2/3/2023,3904,0,12,0,245890.282,0,755.81,0,,,,,,
antigua and barbuda,2/3/2023,9106,0,146,0,97107.879,0,1556.968,0,,,,,,
argentina,2/3/2023,10037135,4426,130421,27,220546.331,97.253,2865.745,0.593,,,,,41450911,34820198
armenia,2/3/2023,446008,0,8717,0,160407.298,0,3135.079,0,,,,,,
aruba,2/3/2023,43993,0,281,0,413238.899,0,2639.514,0,,,,,90243,84076
asia,2/3/2023,209309640,81997,1613555,395,44332.27,17.367,341.755,0.084,,,,,3663806259,3428229462
australia,2/3/2023,11312904,17677,18828,213,432162.846,675.277,719.246,8.137,53,2.025,1709,65.285,22236698,21654488
austria,2/3/2023,5794162,4171,21736,27,648144.322,466.575,2431.424,3.02,40,4.474,713,79.757,,
azerbaijan,2/3/2023,828042,24,10094,2,79941.665,2.317,974.505,0.193,,,,,,
bahamas,2/3/2023,37491,0,833,0,91443.917,0,2031.762,0,,,,,,
bahrain,2/3/2023,700835,383,1544,0,476034.09,260.148,1048.744,0,,,,,,
bangladesh,2/3/2023,2037588,10,29443,1,11902.747,0.058,171.994,0.006,,,,,150956628,135108210
barbados,2/3/2023,106157,0,571,0,376916.413,0,2027.368,0,,,,,,
belarus,2/3/2023,994037,0,7118,0,104251.871,0,746.516,0,,,,,6527591,6410184
belgium,2/3/2023,4695403,3904,33582,25,402834.078,334.937,2881.11,2.145,51,4.375,833,71.466,9265134,9167544
belize,2/3/2023,70660,0,688,0,174346.448,0,1697.571,0,,,,,251881,221297
benin,2/3/2023,27989,0,163,0,2096.105,0,12.207,0,,,,,,
bermuda,2/3/2023,18771,0,158,0,292351.301,0,2460.791,0,,,,,,
bhutan,2/3/2023,62605,0,21,0,80010.787,0,26.839,0,,,,,,
bolivia,2/3/2023,1189102,363,22350,1,97275.107,29.695,1828.353,0.082,,,,,,
bonaire sint eustatius and saba,2/3/2023,11794,0,41,0,435975.159,0,1515.6,0,,,,,,
bosnia and herzegovina,2/3/2023,401412,10,16259,1,124140.49,3.093,5028.251,0.309,,,,,,
botswana,2/3/2023,329227,340,2800,0,125167.091,129.263,1064.517,0,,,,,,
brazil,2/3/2023,36866283,28340,697353,153,171221.416,131.622,3238.78,0.711,,,,,189086622,175607559
british virgin islands,2/3/2023,7305,0,64,0,233148.219,0,2042.64,0,,,,,,
