Country name,Year,Population,Population of children under the age of 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years
afghanistan,2021,40099460,1368682,5121872,5807514,5114941,4694495,7322711,4436619,2897810,1796991,981861,449495,100923,5507,39
africa (un),2021,1393676400,43436140,164013200,187800450,167081660,143907260,230999710,177772130,122385976,80424990,47745744,21808220,5739974,548246,12740
albania,2021,2854710,28218,113175,160362,163040,186356,447033,387422,327815,386685,344488,210056,88902,10943,215
algeria,2021,44177964,946304,3924537,4717581,3979548,3127878,6228986,7224180,5812825,4066716,2527202,1172504,409272,40062,368
american samoa,2021,45056,787,3242,4217,4148,3718,7580,5363,5396,5456,3481,1345,300,23,0
andorra,2021,79057,336,2204,3575,4222,4102,9231,11207,14305,13339,8741,4999,2184,583,29
angola,2021,34503776,1275484,4707921,5201185,4403905,3585944,5470351,4050659,2629840,1710464,963558,393041,104232,7033,159
anguilla,2021,15779,150,650,943,1040,837,1953,3029,2576,2171,1490,705,210,25,0
antigua and barbuda,2021,93229,1123,4188,5625,6606,6435,14431,14130,13036,13160,8559,4133,1480,310,13
argentina,2021,45276788,627545,2705198,3678649,3563789,3478715,7012995,6555225,5896413,4478341,3611069,2377730,1032926,247251,10943
armenia,2021,2790971,34060,148859,207462,179606,161150,384945,481544,311888,328720,337693,127680,76545,10731,88
aruba,2021,106543,807,4136,6139,6813,7028,11804,13471,14638,17028,14723,7502,2275,178,1
asia (un),2021,4694576000,66681124,286596380,376914240,372222340,360713950,716526700,724744500,612111550,545459900,360717800,190833440,70142200,10630656,281309
australia,2021,25921094,298603,1238871,1621610,1603484,1501697,3611925,3838053,3316667,3145062,2717987,1936880,873620,210494,6141
austria,2021,8922086,84112,346736,430697,421943,433730,1080609,1226756,1173497,1392810,1067476,750332,428847,83035,1506
azerbaijan,2021,10312992,127570,577754,914338,847715,684844,1544032,1804539,1329822,1260106,847815,255619,109918,8871,49
bahamas,2021,407920,4631,18572,25502,31339,33124,68929,60214,58937,52281,32675,15107,5632,934,43
bahrain,2021,1463266,17818,79790,105185,95380,78002,209209,386335,253746,143970,67317,19334,6438,735,7
bangladesh,2021,169356240,2957644,11705691,14586077,15550370,16754565,31043512,26400320,20590466,14523667,9489528,4295550,1332664,125460,733
barbados,2021,281204,3018,12066,15496,17679,18186,36952,37557,37923,39238,34617,20105,7393,959,15
belarus,2021,9578172,88439,385274,590938,548345,474450,991005,1538500,1365720,1280626,1283198,647777,326361,56635,904
belgium,2021,11611416,116052,483432,654858,683384,647548,1410119,1521780,1507396,1590275,1382299,966099,525278,120612,2284
belize,2021,400037,7064,30428,38087,37369,39061,76368,62465,45729,32459,19001,8457,3058,484,7
benin,2021,12996901,451776,1684894,1829885,1567264,1357687,2169517,1559376,1047316,697608,397380,182465,48206,3495,32
bermuda,2021,64213,505.99997,2315,3261,3485,3355,6181,7487,9533,10296,9397,5486,2424,471,16
bhutan,2021,777500,9543,41250,61089,65407,71814,153296,145802,95504,62959,41432,21090,7413,889,12
bolivia,2021,12079474,257303.02,1014631,1255455,1231984,1172514,2182938,1803439,1318667,920467,567828,275923,72422,5847,56
bonaire sint eustatius and saba,2021,26730,282,1151,1518,1592,1389,3043,4246,3789,4268,3145,1662,560,85,0
bosnia and herzegovina,2021,3270948,28459,125460,163690,170393,167658,391808,457680,459267,474342,456407,241791,118790,14882,321
botswana,2021,2588424,59559,236980,285753,269681,242030,446588,425691,297437,173537,98807,39117,11826,1386,32
brazil,2021,214326220,2743222,11497391,14707178,15076247,15910174,34042476,34816696,30365092,24684440,17704992,9285972,3213211,276940,2190
british virgin islands,2021,31145,230,934,1504,2070,2081,4268,4928,5556,4806,3062,1350,311,45,0
brunei,2021,445382,6149,25821,34517,33038,33623,68706,76987,69779,52667,30310,10452,3018,312,3
bulgaria,2021,6885864,58299,247827,319575,337956,315161,654049,938439,1039783,958464,929802,721676,323291,41204,338
burkina faso,2021,22100690,749610,2818121,3283185,2893489,2402876,3654549,2631322,1715396,1038261,597049,262737,52510,1584,1
burundi,2021,12551215,422264,1631561,2008802,1747764,1323800,1862597,1612462,960517,497403,311952,137608,32560,1909,16
cambodia,2021,16589031,316916,1296148,1650586,1596826,1460793,2680739,2759400,1635728,1650390,1040066,385431,106637,9297,74
cameroon,2021,27198632,909149,3436673,3815987,3378709,2892874,4604156,3459547,2208439,1337727,715477,333992,97031,8753,118
canada,2021,38155012,373863,1527374,2024758,2077073,2050933,5091867,5330660,4888897,5124234,4828379,3125203,1365331,334944,11496
cape verde,2021,587936,9869,40576,52143,53881,52634,114511,100819,64768,48901,29690,11304,7540,1276,24
cayman islands,2021,68157,660,3098,4320,3364,2894,8990,13199,12874,10250,5298,2415,708,87,0
central african republic,2021,5457165,217887,766924,859811,784828,668370,911393,485388,299450,236826,155645,58534,11533,575,1
chad,2021,17179744,699185,2518497,2710770,2259313,1841976,2756895,1795043,1248580,767103,395527,149895,34771,2159,29
chile,2021,19493184,229215,921816,1226354,1220461,1227703,3039790,3090215,2662800,2397728,1837155,1060203,463229,112669,3846
china,2021,1425893500,11501936,63287764,90508240,86629944,79508270,174028860,229977170,204141890,228613400,144414740,80093240,29252108,3894913,40972
colombia,2021,51516560,728293,2942178,3687103,3767929,4101661,8967150,8213052,6614026,5730297,3994661,2017407,676596,74670,1536
comoros,2021,821632,23262,90426,106642,94051,80095,139836,107305,74312,52622,31419,16795,4563,303,1
congo,2021,5835814,173538,673356,826500,742699,593514,904253,740414,562020,355185,177771,67614,17549,1395,6
cook islands,2021,17028,277,1125,1363,1264,1314,2325,2016,2076,2391,1692,850,302,33,0
costa rica,2021,5153959,61382,267667,358406,371604,369374,814873,838464,681056,598526,440584,244268,95245,12337,173
cote d'ivoire,2021,27478250,884803,3317245,3801504,3481787,3070808,4744253,3305755,2463279,1356691,674101,283859,84666,9336,163
croatia,2021,4060139,35075,145415,190437,203076,195813,467719,526289,550622,558904,572340,379527,204469,30029,424
cuba,2021,11256373,102559,450458,615887,609536,634321,1419553,1538520,1527558,1946454,1190483,800020,349118,69675,2231
curacao,2021,190348,2144,8057,11070,11855,13504,30948,24569,22494,25812,22070,13157,4214,448,6
cyprus,2021,1244193,12964,53652,67831,64397,63027,161607,229899,186461,155688,124565,82186,35839,5961,116
czechia,2021,10510748,105332,445250,550571,580877,491232,1068917,1408545,1736686,1356283,1283956,1038142,379617,64572,768
democratic republic of congo,2021,95894120,3813316,13884620,14759267,12157540,9928171,15304682,10355371,6655303,4611647,2749281,1330064,325233,19552,74
denmark,2021,5854246,62495,247800,300796,335255,343281,778822,704334,741466,804888,669806,578432,241200,44409,1262
djibouti,2021,1105562,23731,92642,112129,111686,114225,197696,160322,129887,85822,47562,23741,5738,379,2
dominica,2021,72435,951,3699,4588,5146,5647,13014,11032,8876,9244,5956,3003,1158,119,2
dominican republic,2021,11117873,200802,814622,1026252,1000131,975215,1889973,1635016,1325175,1045074,708317,331217,140151,24843,1085
ecuador,2021,17797736,296920,1195509,1555774,1596586,1567546,3123956,2750292,2129950,1613411,1096927,605741,228745,35373,1005
egypt,2021,109262184,2435522,9932934,12858653,10885100,9645274,17634140,16529556,12310635,8713415,5341115,2347113,580485,47915,324
el salvador,2021,6314165,100357,407482,555113,563674,585109,1260983,855044,708186,554761,380546,232699,94371,15363,477
equatorial guinea,2021,1634473,47635,182057,210316,193615,137416,260708,259186,159364,101668,54251,21658,5874,698,27
eritrea,2021,3620324,100224,385670,479528,474806,434079,628516,392885,293995,211775,127994,70393,19370,1089,0
estonia,2021,1328704,13801,56878,71276,76872,65882,136967,197275,182524,170837,164265,112175,66863,12912,177
eswatini,2021,1192273,28063,112005,141099,136475,122728,216364,184195,107505,70035,46622,21523,5154,495,10
ethiopia,2021,120283020,3754003,14043905,15619293,14649104,13464470,21979042,14911427,9580053,6387491,3659078,1768393,437558,28979,229
europe (un),2021,745173760,6881596,29623340,40727896,40706480,38470976,83254584,104459560,104099960,103272700,92337750,61300028,33231192,6660029,147662
faeroe islands,2021,52915,749,2912,3620,3654,3711,6004,6503,6526,6745,5700,4425,1884,477,5
falkland islands,2021,3786,43,169,237,223,217,416,556,658,633,348,174,101,11,0
fiji,2021,924615,17646,71879,90364,87443,79548,148559,142260,111639,87453,58718,22927,5788,386,5
finland,2021,5535982,46791,196852,297166,313318,300451,657359,721068,670529,709066,710315,590315,265225,56507,1020
france,2021,64531450,657766,2750145,3801478,4001904,3908921,7156695,7841917,8283380,8411901,7712098,5955078,3121715,901539,26912
french guiana,2021,297462,7439,28724,30852,29072,28275,46060,36702,35384,27842,17402,7508,1988,212,2
